dealname,dealstage,closedate,associated_contact
wlxaXuwNgPH,Closed Won,09-29-2017,WWgWqgLRQxy
PYLZjweOaGm,Closed Won,11-15-2022,UsCCtNUEBFQ
KUGBBDCsLHj,Pending Contract,01-24-2022,KyQHwgXiIYT
nBcwepyeHgq,Pending Response,12-09-2017,OyjjGfwURXX
fBwCJhWFQmm,Pending Response,07-13-2019,uuAquepLIHs
DKcQAyqrgvD,Pending Contract,10-12-2017,nMHYbaFkPWs
fbKKTxlLAOP,Pending Contract,06-24-2018,WQkBpEIvNnJ
zuIkfVOrXqw,Pending Contract,06-04-2022,AoUWrXtghQB
LxHtieMulcJ,Pending Contract,11-09-2022,eksRpfFifbe
XhSoueeCGeH,Closed Won,07-31-2018,FXPeVQkKsoO
evacPMSMnBw,Pending Response,02-18-2018,CoyKhwVvQvJ
cFNgRjveWPv,Closed Won,08-30-2021,xpNNXWbYZPL
oVzmCTfshdC,Pending Response,01-23-2020,nuXkoZtxVbp
qBsunoMqqGH,Pending Contract,07-29-2019,nHAAyeabfkr
SnRlOxQMEpc,Pending Contract,07-24-2019,tZTzCKjHgoI
PRTQvhbEklX,Pending Response,06-16-2018,xIfbauTIwzl
LtmZrJDVjIf,Pending Response,11-20-2017,IjzczAnsIzG
PdLOOGusEii,Pending Response,12-28-2017,GabjxuPfpzM
WisYrCvDJOt,Closed Won,06-24-2020,lUQUqkoYsEL
JKogMtIAPos,Closed Won,07-23-2020,IRSHqcMiLdQ
pxreiEXHMRt,Closed Won,11-04-2017,ApUAHSfjQiq
dpQPAEqQewE,Closed Won,11-06-2021,voKnNivCVha
uIaXjyJihON,Pending Response,03-02-2020,mGfYudGoFGS
GSIjxDMmieu,Pending Response,08-10-2020,GOgDYCIFAYj
bkrshhWHqqH,Pending Contract,10-13-2017,QYvTcJwkYDX
ROGbPUDXvdj,Pending Response,12-13-2021,zaTgQwAGivw
NyQOxxitEzz,Closed Won,11-17-2021,qqPZzJsRyEU
zdctCOApnNh,Pending Contract,04-17-2021,JKbqlHwAyIY
WbbBdHeHpBx,Closed Won,02-07-2021,AJvqTqjEuNW
rSCsRJwMQXu,Pending Response,09-23-2022,hdYWhQAmQGk
qvuUXxaTNtQ,Pending Response,10-03-2017,OqbZBWTgamJ
AippUefsghG,Pending Response,04-21-2020,oTAPzMwgClZ
OiUftNYAAnL,Pending Response,02-16-2022,MInyYboGxJo
CzEwLGDooMp,Pending Contract,09-08-2019,oxmigQkXOzf
bzgaVtMBUyE,Pending Contract,06-17-2017,ZYCSOJNxqLP
FDCLbUvYSDs,Closed Won,10-12-2018,bYfrxgGJeiP
sWxHSnUALGB,Closed Won,01-13-2022,BxIXVojICBE
sdiQrmygMZk,Closed Won,09-30-2019,HMorJwbCRlm
GpbhSqcRfiK,Closed Won,07-16-2020,zqqpDdHuaBC
GhrMxELeeWv,Pending Contract,03-29-2021,JKbqlHwAyIY
rOHhILakQkr,Pending Response,01-30-2021,syFFLwxIxDC
PHrrbzsprhw,Pending Contract,06-23-2021,pOwhTjQSJMr
wxZztHctMzv,Pending Contract,04-28-2021,ApUAHSfjQiq
cXduYXJPEfD,Pending Response,10-24-2019,tZTzCKjHgoI
YnjwVUpxaHX,Pending Response,11-23-2018,ZTjdfoVIydf
taVkNLuiJav,Pending Response,04-25-2017,qyNIWQYIepS
WUsJrnLsRza,Pending Contract,10-15-2022,KiEJHtouoyK
JCOLfSEtDjA,Closed Won,06-08-2021,qkcloaXQAaM
gKRyNyRujAD,Pending Response,06-13-2019,nWiKgZDdbUI
xxelnGtFixF,Closed Won,08-21-2019,irdzXiFpaWZ
xWjudomoFvx,Pending Contract,04-24-2018,fjvtTfJyviV
kAOMSIxyghK,Pending Response,06-24-2022,IIELpGKUAuo
wNkaUobZNzz,Closed Won,05-16-2020,MhtkgANedpu
nYMVvgaCiCc,Pending Contract,07-15-2017,tEYTuyaWxii
EhDHTOSHQWi,Pending Contract,06-08-2019,QwZpcXKdoNl
HGKcAoGoQNm,Pending Response,01-16-2020,GpJtkqdXlVc
VWHkCcVHDbr,Pending Contract,08-25-2022,GjtIBAVJhli
BIKXNkefRCl,Pending Contract,10-06-2018,mlcpTFJketF
cYNMYAoSzkW,Pending Contract,02-04-2020,MFBFKQeedTL
aZVAiKBTpQw,Closed Won,10-04-2022,KyEBiFZxWQl
rtQaxjrqume,Pending Response,04-18-2019,tXOdGBjVTEc
sJioAzlglZN,Pending Contract,07-06-2020,LwbNfyvlLlt
ChNyEreMQlR,Closed Won,02-03-2017,xaKRmJVSGdc
BFLiRtIuXoG,Pending Contract,07-20-2017,LYAHRQjBWKS
jNVOGeWKpuR,Pending Response,02-21-2021,LlGRWFoaaAt
cixqCmsWvmM,Pending Contract,02-08-2022,BXBlCTKRaKz
cfqKljzTAxS,Closed Won,03-11-2019,bnmtKqIMFwP
cMsezmFyZzb,Closed Won,08-16-2017,KiEJHtouoyK
DrFpQxcdvjq,Pending Contract,07-25-2021,GAezARHsCBs
yfPVjrVQXEY,Pending Response,02-04-2019,dGVeLWDFcJL
kKlhclQRuSQ,Pending Contract,04-03-2018,viPJyrasiVg
yiUuPVyLcyQ,Closed Won,03-05-2022,lUQUqkoYsEL
uSQMfWFUFjO,Pending Contract,05-21-2017,BnNknBgySPi
PWwtfFnsueP,Pending Contract,09-09-2020,BnNknBgySPi
SrbLqWFaaoo,Closed Won,04-05-2019,AJvqTqjEuNW
OHOiFKQijLG,Pending Response,03-30-2018,UoachoHeWCC
czvGDqrtutr,Pending Response,03-03-2017,UEFnYLsbJGV
PDdhgRiJMAr,Closed Won,03-19-2017,VqdXQIDvWYF
PtHVOfDSJDx,Pending Response,11-22-2017,XorvrtEVnKF
WBMHCDGbdax,Pending Contract,11-24-2021,caYxsXfEXUT
znEuVRTIDNj,Closed Won,05-05-2019,IIELpGKUAuo
CtRfInnaVir,Pending Contract,02-20-2021,RrdqVadhYsy
GiMFoayKdej,Pending Contract,04-24-2017,IIELpGKUAuo
pqnSUDHSSkj,Closed Won,05-09-2021,SncepxJyHyO
iYaOlOeBESX,Pending Contract,08-22-2018,LugEIFUnoMN
qcDdTUVcrph,Pending Contract,04-04-2017,oQEyrOEtIPo
ZBZXzjfbXEz,Pending Response,10-02-2022,oyaxVWByqxX
ASENRDDaRHg,Pending Response,02-12-2017,qzICBIyWHuk
gRfrzrVyJVx,Pending Response,04-05-2017,BnNknBgySPi
wpwKWJZFseO,Pending Response,12-03-2021,oYAFgxDeGYj
BjNTzoXVwtb,Pending Contract,12-19-2021,GTYXQtHKitY
FcRRVzpCRPh,Closed Won,05-01-2022,DCVctunFPRZ
guRUBwDtiVN,Pending Response,04-11-2020,NbaCqzuAPZf
kIDQhwhTctf,Closed Won,10-13-2020,bHGOXzNAXXN
XboCzdCqGkF,Pending Contract,12-23-2019,TtOdoKxmXaQ
ajIuYsYgQPk,Closed Won,09-09-2021,hdYWhQAmQGk
iRbaqiwWThk,Pending Contract,11-25-2022,apJppECkHKk
VBCQWZlVqZy,Pending Contract,08-04-2019,fpLhYSnABQE
KFKCaZQWftQ,Pending Response,12-01-2022,PywWpOnFAkv
WIcnbonXhVS,Pending Response,01-31-2021,esHjntZprxo
jigOeSOtDIV,Closed Won,11-07-2018,CHokjNZUYSi
IsmTLOiHrRp,Pending Contract,07-12-2021,GoPxJnxEPJw
bQqJpWtBuCP,Pending Response,11-14-2017,srrFOabQtbd
KXiAgmLlVDw,Pending Contract,10-19-2020,tXOdGBjVTEc
cPmeTNuQCPL,Pending Response,07-25-2020,qkcloaXQAaM
wDArGpWOUBl,Pending Contract,08-18-2018,CRCtXdqEgdP
BlGNCuhEZhB,Pending Response,12-27-2016,hPCsdlvDScx
mOcyustrWjQ,Pending Contract,03-01-2022,hKeSwEiyptj
rWXiLuarcrT,Pending Response,12-21-2018,KMloczrPBfS
TRFFIzxIrya,Pending Response,10-15-2019,TeXjPlIhnAC
CphRBcpaYSU,Pending Response,08-14-2021,qIvYCVPfQVz
hNJaslPJfeV,Pending Contract,08-10-2021,nnBoXXCSkgd
NBWSZBySiQG,Pending Response,09-06-2021,mGfYudGoFGS
DmrIpMNuzov,Closed Won,01-13-2020,hhNJUAxrxAT
vGiMZIIezGX,Pending Contract,04-01-2021,dGPtkuNbiYs
cUGIxBiOapV,Pending Response,09-30-2019,WBpBNBwjOBZ
QFaofBdKwiQ,Pending Contract,11-22-2020,KyQHwgXiIYT
riZYWuwWeqk,Pending Response,11-27-2021,QYvTcJwkYDX
fXsuTszDTQY,Closed Won,02-15-2021,GOgDYCIFAYj
PnvmzzKaHlb,Closed Won,10-25-2017,zfvCryfyDSb
LezZDdSpORo,Closed Won,08-12-2020,bnmtKqIMFwP
UCnednQDIKl,Pending Contract,12-18-2019,AKpYUzVwHRa
ZHqFCFrGGBW,Closed Won,03-28-2017,REsZwRhPNjR
adLGHjgFsll,Pending Response,08-16-2020,nbVVQTCBIxA
CBmEjFLQowd,Pending Response,05-30-2020,AKpYUzVwHRa
hdTJiFcHYlO,Pending Contract,07-11-2020,xIDlpBJbeZI
eRWYtXMQMrz,Pending Contract,01-13-2021,bnmtKqIMFwP
lJNvQxnVVpa,Pending Response,04-14-2019,zZuEgRVFREm
TFXInBBMMVv,Pending Contract,02-15-2022,nkMjcEXUXhn
QduDQYxPNLM,Pending Response,01-18-2021,stzrWJhJuYl
VwchSegmumv,Closed Won,06-18-2021,MFBFKQeedTL
WExovxPSjKk,Closed Won,10-20-2019,RWgVSxwGxoh
VNSCQkZxWfl,Pending Response,08-29-2021,RiVhlPcHjRW
uYLoGMaURoj,Pending Contract,08-29-2019,JDWAuvvEOpU
bqLtsPfSthL,Pending Response,11-26-2022,lrzSwEgiOBA
cvSMzjhJfdL,Pending Contract,08-04-2019,VDMRopBPiDo
aSNstgCSlGT,Pending Response,04-21-2020,voKnNivCVha
owAFiXBSYZP,Pending Response,09-14-2017,ANmvVbzlXXr
PjpqtUeuydz,Pending Contract,06-14-2022,hOfJGSRWPiS
RkfMJdMweoA,Pending Contract,05-02-2021,PywWpOnFAkv
EvdvKOPTeZK,Pending Contract,07-05-2022,YDdJOKlmBLD
WJfgNhaqcLI,Pending Contract,02-23-2018,QXBjICHhAkP
teKoDnKqJeO,Pending Contract,12-09-2022,QaSXAYjQnkm
yTUutYesTNX,Pending Response,03-06-2019,SYUcjOMyvlX
wAkIzqDSVkL,Pending Response,04-03-2017,uKHDHDLsOUV
